week_start,run_date,banner,product_id,brand,title,package_size,unit_price,unit_price_basis,price,was_price,deal_type,deal_text,deal_expiry,url
4/9/2026,4/10/2026,Real Canadian Superstore,20117550001_EA,Farmer's Market,Sweet Baby Peppers (4-Pack),1 ea,1.25,1ea,5.00,,,,,https://www.realcanadiansuperstore.ca/en/sweet-baby-peppers-4-pack/p/20117550001_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20817066001_KG,,Papaya,$4.41/1kg $2.00/1lb,,,5.73,,,,,https://www.realcanadiansuperstore.ca/en/papaya/p/20817066001_KG
4/9/2026,4/10/2026,Real Canadian Superstore,21595175_EA,Butcher's Choice,Medium Ground Beef,450 g,1.89,100g,8.50,,,,,https://www.realcanadiansuperstore.ca/en/medium-ground-beef/p/21595175_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20054025001_EA,Farmer's Market,"Mandarin, 4 lb bag",1.8 kg,0.39,100g,7.00,,,,,https://www.realcanadiansuperstore.ca/en/mandarin-4-lb-bag/p/20054025001_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20099819001_EA,Farmer's Market,"Mandarin Oranges, 2 lb bag",907 g,0.66,100g,6.00,,,,,https://www.realcanadiansuperstore.ca/en/mandarin-oranges-2-lb-bag/p/20099819001_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20732366_EA,Maple Leaf,Original Natural Bacon,375 g,2.66,100g,9.99,,,,,https://www.realcanadiansuperstore.ca/en/original-natural-bacon/p/20732366_EA
4/9/2026,4/10/2026,Real Canadian Superstore,21505336_EA,Aveeno,"Positively Radiant Daily Moisturizer SPF 15, Dry Skin Lotion, Face Cream, Hypoallergenic, Soy Formula",120 ml,20.24,100ml,24.29,,,,,https://www.realcanadiansuperstore.ca/en/positively-radiant-daily-moisturizer-spf-15-dry-sk/p/21505336_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20425775001_KG,,Extra Large Green Seedless Grapes,$11.00/1kg $4.99/1lb,,,11.22,,,,,https://www.realcanadiansuperstore.ca/en/extra-large-green-seedless-grapes/p/20425775001_KG
4/9/2026,4/10/2026,Real Canadian Superstore,20584097_EA,President's Choice,Hummus ,227 g,1.76,100g,3.99,,,,,https://www.realcanadiansuperstore.ca/en/hummus/p/20584097_EA
4/9/2026,4/10/2026,Real Canadian Superstore,20340143_EA,President's Choice,Sugar Cones ,142 g,1.96,100g,2.79,,,,,https://www.realcanadiansuperstore.ca/en/sugar-cones/p/20340143_EA
4/9/2026,4/10/2026,Independent City Market,20049778001_EA,,Strawberries 1LB,454 g,1.1,100g,5.00,,,,,https://www.independentcitymarket.ca/en/strawberries-1lb/p/20049778001_EA
4/9/2026,4/10/2026,Independent City Market,20045276001_EA,,Honeydew Melon,1 ea,8,1ea,8.00,,,,,https://www.independentcitymarket.ca/en/honeydew-melon/p/20045276001_EA
4/9/2026,4/10/2026,Independent City Market,20167017001_EA,,Cantaloupe,1 ea,6,1ea,6.00,,,,,https://www.independentcitymarket.ca/en/cantaloupe/p/20167017001_EA
4/9/2026,4/10/2026,Independent City Market,20082109001_KG,,LoBok (Daikon Radish),$5.47/1kg $2.48/1lb,,,5.14,,,,,https://www.independentcitymarket.ca/en/lobok-daikon-radish/p/20082109001_KG
4/9/2026,4/10/2026,Independent City Market,20851084001_KG,,"Chinese Carrots, Jumbo",$4.41/1kg $2.00/1lb,,,3.27,,,,,https://www.independentcitymarket.ca/en/chinese-carrots-jumbo/p/20851084001_KG
4/9/2026,4/10/2026,Independent City Market,21006885_EA,Oikos,"Greek Yogurt, Plain, 2% M.F.",750 g,1.13,100g,8.49,,,,,https://www.independentcitymarket.ca/en/greek-yogurt-plain-2-m-f/p/21006885_EA
4/9/2026,4/10/2026,Independent City Market,21537885_EA,Milk 2 Go,2% Partly Skimmed Milk,6x200.0 ml,0.42,100ml,5.00,6.49,SALE,SAVE $1.49,4/22/2026,https://www.independentcitymarket.ca/en/2-partly-skimmed-milk/p/21537885_EA
4/9/2026,4/10/2026,Independent City Market,20814983001_EA,Burnbrae Farms,"Nature's Best White Eggs, Large",12 ea,0.52,1ea,6.21,,,,,https://www.independentcitymarket.ca/en/nature-s-best-white-eggs-large/p/20814983001_EA
